Time,State,Mobility_Type,Q_Observed,Q_V_Shape,Q_Exp,Q_DQQ
87,Alabama,transit_stations_percent_change_from_baseline,-1.842681921,0.24209894,-1.295519981,2.143094535
88,Alabama,transit_stations_percent_change_from_baseline,-0.386281179,0.71799888,-1.070466094,2.312198872
89,Alabama,transit_stations_percent_change_from_baseline,1.091269841,1.19389882,-0.850296656,2.445785379
90,Alabama,transit_stations_percent_change_from_baseline,1.744331066,1.669798759,-0.634905657,2.542670127
91,Alabama,transit_stations_percent_change_from_baseline,2.325963719,2.145698699,-0.424189389,2.60166919
92,Alabama,transit_stations_percent_change_from_baseline,2.621598639,2.621598639,-0.218046394,2.621598639
93,Alabama,transit_stations_percent_change_from_baseline,2.405328798,3.097498579,-0.016377417,2.621598639
94,Alabama,transit_stations_percent_change_from_baseline,2.756519274,3.573398519,0.180914646,2.621598639
95,Alabama,transit_stations_percent_change_from_baseline,2.461734694,4.049298458,0.373924787,2.621598639
96,Alabama,transit_stations_percent_change_from_baseline,1.552437642,4.525198398,0.56274594,2.621598639
97,Alabama,transit_stations_percent_change_from_baseline,1.049886621,5.001098338,0.747469019,2.621598639
98,Alabama,transit_stations_percent_change_from_baseline,0.988662132,5.476998278,0.928182968,2.621598639
99,Alabama,transit_stations_percent_change_from_baseline,1.158936302,5.952898217,1.104974798,2.621598639
100,Alabama,transit_stations_percent_change_from_baseline,0.96250773,6.428798157,1.277929632,2.621598639
101,Alabama,transit_stations_percent_change_from_baseline,0.879174397,6.904698097,1.447130748,2.621598639
102,Alabama,transit_stations_percent_change_from_baseline,1.02203154,7.380598037,1.612659614,2.621598639
103,Alabama,transit_stations_percent_change_from_baseline,1.910920429,7.856497976,1.774595929,2.621598639
104,Alabama,transit_stations_percent_change_from_baseline,3.22979798,8.332397916,1.933017666,2.621598639
105,Alabama,transit_stations_percent_change_from_baseline,4.73319934,8.808297856,2.088001102,2.621598639
106,Alabama,transit_stations_percent_change_from_baseline,4.388321995,9.284197796,2.239620861,2.621598639
107,Alabama,transit_stations_percent_change_from_baseline,2.308956916,9.760097736,2.387949945,2.621598639
108,Alabama,transit_stations_percent_change_from_baseline,1.916099773,10.23599768,2.533059775,2.621598639
109,Alabama,transit_stations_percent_change_from_baseline,2.503401361,10.71189762,2.675020219,2.621598639
110,Alabama,transit_stations_percent_change_from_baseline,2.360544218,11.18779755,2.813899629,2.621598639
111,Alabama,transit_stations_percent_change_from_baseline,1.541666667,11.66369749,2.949764875,2.621598639
112,Alabama,transit_stations_percent_change_from_baseline,0.071428571,12.13959743,3.082681375,2.621598639
0,Alaska,transit_stations_percent_change_from_baseline,0.428571429,0,4.46638655,0
1,Alaska,transit_stations_percent_change_from_baseline,-1.571428571,-2.711058201,-0.186197599,-0.37459347
2,Alaska,transit_stations_percent_change_from_baseline,-3.571428571,-5.422116402,-4.612030136,-1.446705817
3,Alaska,transit_stations_percent_change_from_baseline,-6.5,-8.133174604,-8.822162188,-3.138834941
4,Alaska,transit_stations_percent_change_from_baseline,-9.785714286,-10.8442328,-12.82710628,-5.373478747
5,Alaska,transit_stations_percent_change_from_baseline,-13.28571429,-13.55529101,-16.63686261,-8.073135137
6,Alaska,transit_stations_percent_change_from_baseline,-18.42857143,-16.26634921,-20.26094397,-11.16030201
7,Alaska,transit_stations_percent_change_from_baseline,-22.78571429,-18.97740741,-23.70839956,-14.55747728
8,Alaska,transit_stations_percent_change_from_baseline,-26.78571429,-21.68846561,-26.98783752,-18.18715884
9,Alaska,transit_stations_percent_change_from_baseline,-31.07142857,-24.39952381,-30.10744649,-21.97184459
10,Alaska,transit_stations_percent_change_from_baseline,-34,-27.11058201,-33.07501601,-25.83403244
11,Alaska,transit_stations_percent_change_from_baseline,-37.71428571,-29.82164021,-35.89795597,-29.69622029
12,Alaska,transit_stations_percent_change_from_baseline,-41.42857143,-32.53269841,-38.58331515,-33.48090604
13,Alaska,transit_stations_percent_change_from_baseline,-45,-35.24375662,-41.13779877,-37.1105876
14,Alaska,transit_stations_percent_change_from_baseline,-46.71428571,-37.95481482,-43.56778528,-40.50776286
15,Alaska,transit_stations_percent_change_from_baseline,-47.5,-40.66587302,-45.87934226,-43.59492974
16,Alaska,transit_stations_percent_change_from_baseline,-47.64285714,-43.37693122,-48.07824158,-46.29458613
17,Alaska,transit_stations_percent_change_from_baseline,-48.64285714,-46.08798942,-50.16997379,-48.52922993
18,Alaska,transit_stations_percent_change_from_baseline,-48.07142857,-48.79904762,-52.15976187,-50.22135906
19,Alaska,transit_stations_percent_change_from_baseline,-48,-51.51010582,-54.05257424,-51.2934714
20,Alaska,transit_stations_percent_change_from_baseline,-47.64285714,-54.22116402,-55.85313718,-51.66806488
21,Alaska,transit_stations_percent_change_from_baseline,-47.57142857,-53.66664048,-55.13728784,-51.65244848
22,Alaska,transit_stations_percent_change_from_baseline,-47.85714286,-53.11211693,-54.42571284,-51.60601435
23,Alaska,transit_stations_percent_change_from_baseline,-48.71428571,-52.55759338,-53.71838665,-51.52938506
24,Alaska,transit_stations_percent_change_from_baseline,-48.57142857,-52.00306983,-53.01528391,-51.4231832
25,Alaska,transit_stations_percent_change_from_baseline,-49.07142857,-51.44854629,-52.31637939,-51.28803134
26,Alaska,transit_stations_percent_change_from_baseline,-49.64285714,-50.89402274,-51.62164803,-51.12455207
27,Alaska,transit_stations_percent_change_from_baseline,-50.78571429,-50.33949919,-50.93106491,-50.93336796
28,Alaska,transit_stations_percent_change_from_baseline,-51.21428571,-49.78497564,-50.24460527,-50.7151016
29,Alaska,transit_stations_percent_change_from_baseline,-51.5,-49.2304521,-49.56224447,-50.47037557
30,Alaska,transit_stations_percent_change_from_baseline,-51.35714286,-48.67592855,-48.88395805,-50.19981244
31,Alaska,transit_stations_percent_change_from_baseline,-51.28571429,-48.121405,-48.20972168,-49.90403481
32,Alaska,transit_stations_percent_change_from_baseline,-50.71428571,-47.56688145,-47.53951117,-49.58366524
33,Alaska,transit_stations_percent_change_from_baseline,-49.5,-47.01235791,-46.87330249,-49.23932632
34,Alaska,transit_stations_percent_change_from_baseline,-48.42857143,-46.45783436,-46.21107174,-48.87164063
35,Alaska,transit_stations_percent_change_from_baseline,-47.42857143,-45.90331081,-45.55279517,-48.48123075
36,Alaska,transit_stations_percent_change_from_baseline,-47.07142857,-45.34878726,-44.89844917,-48.06871926
37,Alaska,transit_stations_percent_change_from_baseline,-46.71428571,-44.79426371,-44.24801027,-47.63472875
38,Alaska,transit_stations_percent_change_from_baseline,-46.35714286,-44.23974017,-43.60145514,-47.17988178
39,Alaska,transit_stations_percent_change_from_baseline,-46.14285714,-43.68521662,-42.95876059,-46.70480095
40,Alaska,transit_stations_percent_change_from_baseline,-45.57142857,-43.13069307,-42.31990357,-46.21010883
41,Alaska,transit_stations_percent_change_from_baseline,-44.28571429,-42.57616952,-41.68486116,-45.69642801
42,Alaska,transit_stations_percent_change_from_baseline,-43.5,-42.02164598,-41.05361059,-45.16438106
43,Alaska,transit_stations_percent_change_from_baseline,-42.35714286,-41.46712243,-40.42612922,-44.61459056
44,Alaska,transit_stations_percent_change_from_baseline,-41.28571429,-40.91259888,-39.80239454,-44.0476791
45,Alaska,transit_stations_percent_change_from_baseline,-40.42857143,-40.35807533,-39.18238418,-43.46426926
46,Alaska,transit_stations_percent_change_from_baseline,-39.28571429,-39.80355179,-38.5660759,-42.86498361
47,Alaska,transit_stations_percent_change_from_baseline,-37.64285714,-39.24902824,-37.9534476,-42.25044474
48,Alaska,transit_stations_percent_change_from_baseline,-37.71428571,-38.69450469,-37.3444773,-41.62127522
49,Alaska,transit_stations_percent_change_from_baseline,-37.5,-38.13998114,-36.73914316,-40.97809765
50,Alaska,transit_stations_percent_change_from_baseline,-36.57142857,-37.5854576,-36.13742347,-40.32153459
51,Alaska,transit_stations_percent_change_from_baseline,-35.64285714,-37.03093405,-35.53929665,-39.65220863
52,Alaska,transit_stations_percent_change_from_baseline,-35.57142857,-36.4764105,-34.94474125,-38.97074235
53,Alaska,transit_stations_percent_change_from_baseline,-35.57142857,-35.92188695,-34.35373593,-38.27775833
54,Alaska,transit_stations_percent_change_from_baseline,-35.57142857,-35.36736341,-33.76625951,-37.57387915
55,Alaska,transit_stations_percent_change_from_baseline,-34.35714286,-34.81283986,-33.18229091,-36.85972739
56,Alaska,transit_stations_percent_change_from_baseline,-34.14285714,-34.25831631,-32.60180919,-36.13592564
57,Alaska,transit_stations_percent_change_from_baseline,-34.14285714,-33.70379276,-32.02479352,-35.40309646
58,Alaska,transit_stations_percent_change_from_baseline,-33.85714286,-33.14926921,-31.45122321,-34.66186245
59,Alaska,transit_stations_percent_change_from_baseline,-32.85714286,-32.59474567,-30.88107769,-33.91284618
60,Alaska,transit_stations_percent_change_from_baseline,-31.71428571,-32.04022212,-30.31433651,-33.15667024
61,Alaska,transit_stations_percent_change_from_baseline,-31.28571429,-31.48569857,-29.75097933,-32.3939572
62,Alaska,transit_stations_percent_change_from_baseline,-30.28571429,-30.93117502,-29.19098597,-31.62532965
63,Alaska,transit_stations_percent_change_from_baseline,-29.57142857,-30.37665148,-28.63433632,-30.85141016
64,Alaska,transit_stations_percent_change_from_baseline,-29,-29.82212793,-28.08101043,-30.07282131
65,Alaska,transit_stations_percent_change_from_baseline,-28.64285714,-29.26760438,-27.53098845,-29.2901857
66,Alaska,transit_stations_percent_change_from_baseline,-28.42857143,-28.71308083,-26.98425065,-28.50412589
67,Alaska,transit_stations_percent_change_from_baseline,-27.92857143,-28.15855729,-26.44077742,-27.71526446
68,Alaska,transit_stations_percent_change_from_baseline,-27.92857143,-27.60403374,-25.90054927,-26.92422401
69,Alaska,transit_stations_percent_change_from_baseline,-29.21428571,-27.04951019,-25.36354682,-26.1316271
70,Alaska,transit_stations_percent_change_from_baseline,-30.57142857,-26.49498664,-24.82975081,-25.33809633
71,Alaska,transit_stations_percent_change_from_baseline,-30.42857143,-25.9404631,-24.2991421,-24.54425426
72,Alaska,transit_stations_percent_change_from_baseline,-29.64285714,-25.38593955,-23.77170166,-23.75072349
73,Alaska,transit_stations_percent_change_from_baseline,-28.35714286,-24.831416,-23.24741055,-22.95812658
74,Alaska,transit_stations_percent_change_from_baseline,-28,-24.27689245,-22.72625,-22.16708613
75,Alaska,transit_stations_percent_change_from_baseline,-27.57142857,-23.7223689,-22.20820129,-21.3782247
76,Alaska,transit_stations_percent_change_from_baseline,-25.85714286,-23.16784536,-21.69324585,-20.59216489
77,Alaska,transit_stations_percent_change_from_baseline,-22.5,-22.61332181,-21.1813652,-19.80952928
78,Alaska,transit_stations_percent_change_from_baseline,-21.42857143,-22.05879826,-20.672541,-19.03094043
79,Alaska,transit_stations_percent_change_from_baseline,-20.35714286,-21.50427471,-20.16675499,-18.25702094
80,Alaska,transit_stations_percent_change_from_baseline,-19.57142857,-20.94975117,-19.66398902,-17.48839339
81,Alaska,transit_stations_percent_change_from_baseline,-18.57142857,-20.39522762,-19.16422507,-16.72568035
82,Alaska,transit_stations_percent_change_from_baseline,-16.71428571,-19.84070407,-18.66744521,-15.96950441
83,Alaska,transit_stations_percent_change_from_baseline,-14.71428571,-19.28618052,-18.17363162,-15.22048814
84,Alaska,transit_stations_percent_change_from_baseline,-14.57142857,-18.73165698,-17.68276659,-14.47925413
85,Alaska,transit_stations_percent_change_from_baseline,-14.14285714,-18.17713343,-17.19483252,-13.74642495
86,Alaska,transit_stations_percent_change_from_baseline,-13.57142857,-17.62260988,-16.7098119,-13.0226232
87,Alaska,transit_stations_percent_change_from_baseline,-12.64285714,-17.06808633,-16.22768734,-12.30847144
88,Alaska,transit_stations_percent_change_from_baseline,-11.78571429,-16.51356279,-15.74844155,-11.60459226
89,Alaska,transit_stations_percent_change_from_baseline,-9.571428571,-15.95903924,-15.27205733,-10.91160824
90,Alaska,transit_stations_percent_change_from_baseline,-7.857142857,-15.40451569,-14.7985176,-10.23014196
91,Alaska,transit_stations_percent_change_from_baseline,-7,-14.84999214,-14.32780538,-9.560816002
92,Alaska,transit_stations_percent_change_from_baseline,-6.5,-14.2954686,-13.85990378,-8.904252944
93,Alaska,transit_stations_percent_change_from_baseline,-6.714285714,-13.74094505,-13.39479602,-8.261075368
94,Alaska,transit_stations_percent_change_from_baseline,-7.071428571,-13.1864215,-12.93246542,-7.631905853
95,Alaska,transit_stations_percent_change_from_baseline,-8,-12.63189795,-12.47289539,-7.017366981
96,Alaska,transit_stations_percent_change_from_baseline,-9.642857143,-12.0773744,-12.01606946,-6.418081333
97,Alaska,transit_stations_percent_change_from_baseline,-10.21428571,-11.52285086,-11.56197123,-5.834671488
98,Alaska,transit_stations_percent_change_from_baseline,-9.714285714,-10.96832731,-11.11058442,-5.267760027
99,Alaska,transit_stations_percent_change_from_baseline,-9.357142857,-10.41380376,-10.66189285,-4.717969531
100,Alaska,transit_stations_percent_change_from_baseline,-9.071428571,-9.859280214,-10.21588041,-4.185922581
101,Alaska,transit_stations_percent_change_from_baseline,-8.428571429,-9.304756667,-9.772531111,-3.672241756
102,Alaska,transit_stations_percent_change_from_baseline,-7.642857143,-8.750233119,-9.331829051,-3.177549637
103,Alaska,transit_stations_percent_change_from_baseline,-6.285714286,-8.195709571,-8.893758423,-2.702468806
104,Alaska,transit_stations_percent_change_from_baseline,-7.357142857,-7.641186024,-8.458303515,-2.247621842
105,Alaska,transit_stations_percent_change_from_baseline,-7.714285714,-7.086662476,-8.025448707,-1.813631326
106,Alaska,transit_stations_percent_change_from_baseline,-6.857142857,-6.532138928,-7.595178475,-1.401119838
107,Alaska,transit_stations_percent_change_from_baseline,-5.571428571,-5.977615381,-7.167477387,-1.01070996
108,Alaska,transit_stations_percent_change_from_baseline,-4.5,-5.423091833,-6.742330102,-0.643024271
109,Alaska,transit_stations_percent_change_from_baseline,-4.214285714,-4.868568286,-6.319721371,-0.298685352
110,Alaska,transit_stations_percent_change_from_baseline,-6.071428571,-4.314044738,-5.899636036,0.021684216
111,Alaska,transit_stations_percent_change_from_baseline,-3,-3.75952119,-5.482059031,0.317461853
112,Alaska,transit_stations_percent_change_from_baseline,-2.428571429,-3.204997643,-5.066975378,0.588024978
113,Alaska,transit_stations_percent_change_from_baseline,-2.142857143,-2.650474095,-4.654370189,0.832751011
114,Alaska,transit_stations_percent_change_from_baseline,-3.357142857,-2.095950547,-4.244228666,1.051017371
115,Alaska,transit_stations_percent_change_from_baseline,-3.928571429,-1.541427,-3.836536097,1.242201477
116,Alaska,transit_stations_percent_change_from_baseline,-2.857142857,-0.986903452,-3.431277861,1.40568075
117,Alaska,transit_stations_percent_change_from_baseline,-0.571428571,-0.432379905,-3.028439421,1.540832608
118,Alaska,transit_stations_percent_change_from_baseline,-1.571428571,0.122143643,-2.62800633,1.647034471
119,Alaska,transit_stations_percent_change_from_baseline,0,0.676667191,-2.229964224,1.723663759
120,Alaska,transit_stations_percent_change_from_baseline,0.642857143,1.231190738,-1.834298828,1.770097891
121,Alaska,transit_stations_percent_change_from_baseline,1.785714286,1.785714286,-1.440995949,1.785714286
122,Alaska,transit_stations_percent_change_from_baseline,1.928571429,2.340237834,-1.050041482,1.785714286
123,Alaska,transit_stations_percent_change_from_baseline,1.5,2.894761381,-0.661421404,1.785714286
124,Alaska,transit_stations_percent_change_from_baseline,2,3.449284929,-0.275121776,1.785714286
125,Alaska,transit_stations_percent_change_from_baseline,2.285714286,4.003808477,0.108871258,1.785714286
126,Alaska,transit_stations_percent_change_from_baseline,1,4.558332024,0.490571468,1.785714286
127,Alaska,transit_stations_percent_change_from_baseline,0.428571429,5.112855572,0.869992548,1.785714286
128,Alaska,transit_stations_percent_change_from_baseline,0.071428571,5.667379119,1.247148104,1.785714286
129,Alaska,transit_stations_percent_change_from_baseline,0.5,6.221902667,1.622051664,1.785714286
130,Alaska,transit_stations_percent_change_from_baseline,-0.285714286,6.776426215,1.994716675,1.785714286
131,Alaska,transit_stations_percent_change_from_baseline,-1,7.330949762,2.365156504,1.785714286
132,Alaska,transit_stations_percent_change_from_baseline,-0.142857143,7.88547331,2.733384437,1.785714286
133,Alaska,transit_stations_percent_change_from_baseline,0.5,8.439996858,3.09941368,1.785714286
134,Alaska,transit_stations_percent_change_from_baseline,0.5,8.994520405,3.463257364,1.785714286
135,Alaska,transit_stations_percent_change_from_baseline,0.642857143,9.549043953,3.824928537,1.785714286
136,Alaska,transit_stations_percent_change_from_baseline,-0.714285714,10.1035675,4.184440171,1.785714286
137,Alaska,transit_stations_percent_change_from_baseline,0.285714286,10.65809105,4.541805162,1.785714286
138,Alaska,transit_stations_percent_change_from_baseline,0.642857143,11.2126146,4.897036327,1.785714286
139,Alaska,transit_stations_percent_change_from_baseline,0.928571429,11.76713814,5.250146406,1.785714286
140,Alaska,transit_stations_percent_change_from_baseline,0.642857143,12.32166169,5.601148065,1.785714286
141,Alaska,transit_stations_percent_change_from_baseline,0.857142857,12.87618524,5.950053894,1.785714286
0,Arizona,transit_stations_percent_change_from_baseline,-0.101082251,0,-0.824106977,0
1,Arizona,transit_stations_percent_change_from_baseline,-2.916666667,-2.000624837,-4.184120628,-0.352272266
2,Arizona,transit_stations_percent_change_from_baseline,-7.145238095,-4.001249675,-7.320352536,-1.347824322
3,Arizona,transit_stations_percent_change_from_baseline,-11.09761905,-6.001874512,-10.24770689,-2.894759055
4,Arizona,transit_stations_percent_change_from_baseline,-14.16904762,-8.00249935,-12.98009522,-4.901179353
5,Arizona,transit_stations_percent_change_from_baseline,-16.3,-10.00312419,-15.53050257,-7.275188102
6,Arizona,transit_stations_percent_change_from_baseline,-18.91904762,-12.00374902,-17.91104911,-9.924888189
7,Arizona,transit_stations_percent_change_from_baseline,-21.44285714,-14.00437386,-20.13304783,-12.7583825
8,Arizona,transit_stations_percent_change_from_baseline,-23.38571429,-16.0049987,-22.20705824,-15.68377393
9,Arizona,transit_stations_percent_change_from_baseline,-24.81428571,-18.00562354,-24.14293657,-18.60916535
10,Arizona,transit_stations_percent_change_from_baseline,-25.40952381,-20.00624837,-25.94988261,-21.44265967
11,Arizona,transit_stations_percent_change_from_baseline,-26.38571429,-22.00687321,-27.63648346,-24.09235976
12,Arizona,transit_stations_percent_change_from_baseline,-27.30238095,-24.00749805,-29.21075425,-26.4663685
13,Arizona,transit_stations_percent_change_from_baseline,-27.70714286,-26.00812289,-30.68017635,-28.4727888
14,Arizona,transit_stations_percent_change_from_baseline,-27.96904762,-28.00874772,-32.05173282,-30.01972354
15,Arizona,transit_stations_percent_change_from_baseline,-28.78333333,-30.00937256,-33.33194166,-31.01527559
16,Arizona,transit_stations_percent_change_from_baseline,-29.69761905,-32.0099974,-34.52688675,-31.36754786
17,Arizona,transit_stations_percent_change_from_baseline,-30.61753247,-31.74737529,-33.97175984,-31.35772667
