mobility_type,x_time,y_ridership_change,phase,state,x_date
retail_and_recreation_percent_change_from_baseline,45000,5.66998557,D,Alabama,15-Mar
retail_and_recreation_percent_change_from_baseline,45001,3.76998557,D,Alabama,16-Mar
retail_and_recreation_percent_change_from_baseline,45002,0.833477633,D,Alabama,17-Mar
retail_and_recreation_percent_change_from_baseline,45003,-2.674458874,D,Alabama,18-Mar
retail_and_recreation_percent_change_from_baseline,45004,-7.231601732,D,Alabama,19-Mar
retail_and_recreation_percent_change_from_baseline,45005,-12.24458874,D,Alabama,20-Mar
retail_and_recreation_percent_change_from_baseline,45006,-17.57792208,D,Alabama,21-Mar
retail_and_recreation_percent_change_from_baseline,45007,-22.26623377,D,Alabama,22-Mar
retail_and_recreation_percent_change_from_baseline,45008,-26.49350649,D,Alabama,23-Mar
retail_and_recreation_percent_change_from_baseline,45009,-29.84271284,D,Alabama,24-Mar
retail_and_recreation_percent_change_from_baseline,45010,-32.05104618,D,Alabama,25-Mar
retail_and_recreation_percent_change_from_baseline,45011,-33.55898268,D,Alabama,26-Mar
retail_and_recreation_percent_change_from_baseline,45012,-33.96417749,D,Alabama,27-Mar
retail_and_recreation_percent_change_from_baseline,45013,-34.23560606,D,Alabama,28-Mar
retail_and_recreation_percent_change_from_baseline,45014,-34.64830447,D,Alabama,29-Mar
retail_and_recreation_percent_change_from_baseline,45015,-34.9781746,D,Alabama,30-Mar
retail_and_recreation_percent_change_from_baseline,45016,-35.26706349,D,Alabama,31-Mar
retail_and_recreation_percent_change_from_baseline,45017,-35.01111111,D,Alabama,1-Apr
retail_and_recreation_percent_change_from_baseline,45018,-35.28888889,D,Alabama,2-Apr
retail_and_recreation_percent_change_from_baseline,45019,-35.13044733,D,Alabama,3-Apr
retail_and_recreation_percent_change_from_baseline,45020,-35.84473304,D,Alabama,4-Apr
retail_and_recreation_percent_change_from_baseline,45021,-37.11774892,D,Alabama,5-Apr
retail_and_recreation_percent_change_from_baseline,45022,-37.67489177,D,Alabama,6-Apr
retail_and_recreation_percent_change_from_baseline,45023,-38.2034632,D,Alabama,7-Apr
retail_and_recreation_percent_change_from_baseline,45024,-39.52092352,D,Alabama,8-Apr
retail_and_recreation_percent_change_from_baseline,45025,-39.90663781,D,Alabama,9-Apr
retail_and_recreation_percent_change_from_baseline,45026,-40.59494949,D,Alabama,10-Apr
retail_and_recreation_percent_change_from_baseline,45027,-40.19494949,D,Alabama,11-Apr
retail_and_recreation_percent_change_from_baseline,45028,-42.03780664,R,Alabama,12-Apr
retail_and_recreation_percent_change_from_baseline,45029,-40.96897547,R,Alabama,13-Apr
retail_and_recreation_percent_change_from_baseline,45030,-39.77056277,R,Alabama,14-Apr
retail_and_recreation_percent_change_from_baseline,45031,-37.69119769,R,Alabama,15-Apr
retail_and_recreation_percent_change_from_baseline,45032,-36.36103896,R,Alabama,16-Apr
retail_and_recreation_percent_change_from_baseline,45033,-35.73116883,R,Alabama,17-Apr
retail_and_recreation_percent_change_from_baseline,45034,-34.78037518,R,Alabama,18-Apr
retail_and_recreation_percent_change_from_baseline,45035,-31.99466089,R,Alabama,19-Apr
retail_and_recreation_percent_change_from_baseline,45036,-30.75079365,R,Alabama,20-Apr
retail_and_recreation_percent_change_from_baseline,45037,-29.84603175,R,Alabama,21-Apr
retail_and_recreation_percent_change_from_baseline,45038,-30.34603175,R,Alabama,22-Apr
retail_and_recreation_percent_change_from_baseline,45039,-31.51666667,R,Alabama,23-Apr
retail_and_recreation_percent_change_from_baseline,45040,-31.17380952,R,Alabama,24-Apr
retail_and_recreation_percent_change_from_baseline,45041,-30.88809524,R,Alabama,25-Apr
retail_and_recreation_percent_change_from_baseline,45042,-28.84166667,R,Alabama,26-Apr
retail_and_recreation_percent_change_from_baseline,45043,-28.79404762,R,Alabama,27-Apr
retail_and_recreation_percent_change_from_baseline,45044,-28.36547619,R,Alabama,28-Apr
retail_and_recreation_percent_change_from_baseline,45045,-27.89404762,R,Alabama,29-Apr
retail_and_recreation_percent_change_from_baseline,45046,-25.31071429,R,Alabama,30-Apr
retail_and_recreation_percent_change_from_baseline,45047,-23.8202381,R,Alabama,1-May
retail_and_recreation_percent_change_from_baseline,45048,-22.38174603,R,Alabama,2-May
retail_and_recreation_percent_change_from_baseline,45049,-20.4404195,R,Alabama,3-May
retail_and_recreation_percent_change_from_baseline,45050,-18.81502268,R,Alabama,4-May
retail_and_recreation_percent_change_from_baseline,45051,-17.26105442,R,Alabama,5-May
retail_and_recreation_percent_change_from_baseline,45052,-16.08962585,R,Alabama,6-May
retail_and_recreation_percent_change_from_baseline,45053,-16.35153061,R,Alabama,7-May
retail_and_recreation_percent_change_from_baseline,45054,-16.97057823,R,Alabama,8-May
retail_and_recreation_percent_change_from_baseline,45055,-16.17414966,R,Alabama,9-May
retail_and_recreation_percent_change_from_baseline,45056,-16.29404762,R,Alabama,10-May
retail_and_recreation_percent_change_from_baseline,45057,-16.52261905,R,Alabama,11-May
retail_and_recreation_percent_change_from_baseline,45058,-16.23333333,R,Alabama,12-May
retail_and_recreation_percent_change_from_baseline,45059,-15.15170068,R,Alabama,13-May
retail_and_recreation_percent_change_from_baseline,45060,-14.08979592,R,Alabama,14-May
retail_and_recreation_percent_change_from_baseline,45061,-12.91519274,R,Alabama,15-May
retail_and_recreation_percent_change_from_baseline,45062,-12.81519274,R,Alabama,16-May
retail_and_recreation_percent_change_from_baseline,45063,-12.44812925,R,Alabama,17-May
retail_and_recreation_percent_change_from_baseline,45064,-11.81176562,R,Alabama,18-May
retail_and_recreation_percent_change_from_baseline,45065,-11.21737786,R,Alabama,19-May
retail_and_recreation_percent_change_from_baseline,45066,-10.70717378,R,Alabama,20-May
retail_and_recreation_percent_change_from_baseline,45067,-9.935745207,R,Alabama,21-May
retail_and_recreation_percent_change_from_baseline,45068,-9.510348382,R,Alabama,22-May
retail_and_recreation_percent_change_from_baseline,45069,-9.257967429,R,Alabama,23-May
retail_and_recreation_percent_change_from_baseline,45070,-8.410745207,R,Alabama,24-May
retail_and_recreation_percent_change_from_baseline,45071,-10.31496599,R,Alabama,25-May
retail_and_recreation_percent_change_from_baseline,45072,-11.41927438,R,Alabama,26-May
retail_and_recreation_percent_change_from_baseline,45073,-12.2015873,R,Alabama,27-May
retail_and_recreation_percent_change_from_baseline,45074,-11.95668934,R,Alabama,28-May
retail_and_recreation_percent_change_from_baseline,45075,-11.6138322,R,Alabama,29-May
retail_and_recreation_percent_change_from_baseline,45076,-11.18526077,R,Alabama,30-May
retail_and_recreation_percent_change_from_baseline,45077,-10.75668934,R,Alabama,31-May
retail_and_recreation_percent_change_from_baseline,45078,-7.917403628,R,Alabama,1-Jun
retail_and_recreation_percent_change_from_baseline,45079,-6.751870748,R,Alabama,2-Jun
retail_and_recreation_percent_change_from_baseline,45080,-5.663435374,R,Alabama,3-Jun
retail_and_recreation_percent_change_from_baseline,45081,-5.51547619,R,Alabama,4-Jun
retail_and_recreation_percent_change_from_baseline,45082,-5.701190476,R,Alabama,5-Jun
retail_and_recreation_percent_change_from_baseline,45083,-5.812301587,R,Alabama,6-Jun
retail_and_recreation_percent_change_from_baseline,45084,-7.230952381,R,Alabama,7-Jun
retail_and_recreation_percent_change_from_baseline,45085,-8.464718615,R,Alabama,8-Jun
retail_and_recreation_percent_change_from_baseline,45086,-8.938188002,R,Alabama,9-Jun
retail_and_recreation_percent_change_from_baseline,45087,-8.917779839,R,Alabama,10-Jun
retail_and_recreation_percent_change_from_baseline,45088,-8.667779839,R,Alabama,11-Jun
retail_and_recreation_percent_change_from_baseline,45089,-8.174922696,R,Alabama,12-Jun
retail_and_recreation_percent_change_from_baseline,45090,-7.666986188,R,Alabama,13-Jun
retail_and_recreation_percent_change_from_baseline,45091,-6.087621109,R,Alabama,14-Jun
retail_and_recreation_percent_change_from_baseline,45092,-4.731405896,R,Alabama,15-Jun
retail_and_recreation_percent_change_from_baseline,45093,-3.625283447,R,Alabama,16-Jun
retail_and_recreation_percent_change_from_baseline,45094,-3.155895692,R,Alabama,17-Jun
retail_and_recreation_percent_change_from_baseline,45095,-3.125283447,R,Alabama,18-Jun
retail_and_recreation_percent_change_from_baseline,45096,-3.089569161,R,Alabama,19-Jun
retail_and_recreation_percent_change_from_baseline,45097,-2.795918367,R,Alabama,20-Jun
retail_and_recreation_percent_change_from_baseline,45098,-3.026077098,R,Alabama,21-Jun
retail_and_recreation_percent_change_from_baseline,45099,-4.164399093,R,Alabama,22-Jun
retail_and_recreation_percent_change_from_baseline,45100,-4.946712018,R,Alabama,23-Jun
grocery_and_pharmacy_percent_change_from_baseline,44972,0,D,Alabama,15-Feb
grocery_and_pharmacy_percent_change_from_baseline,44973,0,D,Alabama,16-Feb
grocery_and_pharmacy_percent_change_from_baseline,44974,0,D,Alabama,17-Feb
grocery_and_pharmacy_percent_change_from_baseline,44975,0,D,Alabama,18-Feb
grocery_and_pharmacy_percent_change_from_baseline,44976,0,D,Alabama,19-Feb
grocery_and_pharmacy_percent_change_from_baseline,44977,0,D,Alabama,20-Feb
grocery_and_pharmacy_percent_change_from_baseline,44978,-0.454906205,D,Alabama,21-Feb
grocery_and_pharmacy_percent_change_from_baseline,44979,-0.143217893,D,Alabama,22-Feb
grocery_and_pharmacy_percent_change_from_baseline,44980,0.571067821,D,Alabama,23-Feb
grocery_and_pharmacy_percent_change_from_baseline,44981,0.337301587,D,Alabama,24-Feb
grocery_and_pharmacy_percent_change_from_baseline,44982,1.472943723,D,Alabama,25-Feb
grocery_and_pharmacy_percent_change_from_baseline,44983,1.933261183,D,Alabama,26-Feb
grocery_and_pharmacy_percent_change_from_baseline,44984,3.535642136,D,Alabama,27-Feb
grocery_and_pharmacy_percent_change_from_baseline,44985,4.353823954,D,Alabama,28-Feb
grocery_and_pharmacy_percent_change_from_baseline,47150,5.096681097,D,Alabama,29-Feb
grocery_and_pharmacy_percent_change_from_baseline,44986,6.13953824,D,Alabama,1-Mar
grocery_and_pharmacy_percent_change_from_baseline,44987,7.022655123,D,Alabama,2-Mar
grocery_and_pharmacy_percent_change_from_baseline,44988,8.473051948,D,Alabama,3-Mar
grocery_and_pharmacy_percent_change_from_baseline,44989,7.885750361,D,Alabama,4-Mar
grocery_and_pharmacy_percent_change_from_baseline,44990,7.878607504,D,Alabama,5-Mar
grocery_and_pharmacy_percent_change_from_baseline,44991,7.631854257,D,Alabama,6-Mar
grocery_and_pharmacy_percent_change_from_baseline,44992,7.4747114,D,Alabama,7-Mar
grocery_and_pharmacy_percent_change_from_baseline,44993,7.225505051,D,Alabama,8-Mar
grocery_and_pharmacy_percent_change_from_baseline,44994,7.954076479,D,Alabama,9-Mar
grocery_and_pharmacy_percent_change_from_baseline,44995,7.233838384,D,Alabama,10-Mar
grocery_and_pharmacy_percent_change_from_baseline,44996,8.376695527,D,Alabama,11-Mar
grocery_and_pharmacy_percent_change_from_baseline,44997,10.94098124,D,Alabama,12-Mar
grocery_and_pharmacy_percent_change_from_baseline,44998,15.27864358,D,Alabama,13-Mar
grocery_and_pharmacy_percent_change_from_baseline,44999,18.21673882,D,Alabama,14-Mar
grocery_and_pharmacy_percent_change_from_baseline,45000,19.57893218,D,Alabama,15-Mar
grocery_and_pharmacy_percent_change_from_baseline,45001,21.90750361,D,Alabama,16-Mar
grocery_and_pharmacy_percent_change_from_baseline,45002,23.20909091,D,Alabama,17-Mar
grocery_and_pharmacy_percent_change_from_baseline,45003,24.08210678,D,Alabama,18-Mar
grocery_and_pharmacy_percent_change_from_baseline,45004,22.86782107,D,Alabama,19-Mar
grocery_and_pharmacy_percent_change_from_baseline,45005,19.46522367,D,Alabama,20-Mar
grocery_and_pharmacy_percent_change_from_baseline,45006,16.01933622,D,Alabama,21-Mar
grocery_and_pharmacy_percent_change_from_baseline,45007,12.54920635,D,Alabama,22-Mar
grocery_and_pharmacy_percent_change_from_baseline,45008,8.050505051,D,Alabama,23-Mar
grocery_and_pharmacy_percent_change_from_baseline,45009,4.3997114,D,Alabama,24-Mar
grocery_and_pharmacy_percent_change_from_baseline,45010,1.453282828,D,Alabama,25-Mar
grocery_and_pharmacy_percent_change_from_baseline,45011,-1.527669553,D,Alabama,26-Mar
grocery_and_pharmacy_percent_change_from_baseline,45012,-3.121176046,D,Alabama,27-Mar
grocery_and_pharmacy_percent_change_from_baseline,45013,-4.256240981,D,Alabama,28-Mar
grocery_and_pharmacy_percent_change_from_baseline,45014,-5.434018759,D,Alabama,29-Mar
grocery_and_pharmacy_percent_change_from_baseline,45015,-6.278174603,D,Alabama,30-Mar
grocery_and_pharmacy_percent_change_from_baseline,45016,-6.862301587,D,Alabama,31-Mar
grocery_and_pharmacy_percent_change_from_baseline,45017,-5.534920635,D,Alabama,1-Apr
grocery_and_pharmacy_percent_change_from_baseline,45018,-4.63968254,D,Alabama,2-Apr
grocery_and_pharmacy_percent_change_from_baseline,45019,-2.656565657,D,Alabama,3-Apr
grocery_and_pharmacy_percent_change_from_baseline,45020,-1.342279942,D,Alabama,4-Apr
grocery_and_pharmacy_percent_change_from_baseline,45021,-2.221645022,D,Alabama,5-Apr
grocery_and_pharmacy_percent_change_from_baseline,45022,-2.207359307,D,Alabama,6-Apr
grocery_and_pharmacy_percent_change_from_baseline,45023,-2.264502165,D,Alabama,7-Apr
grocery_and_pharmacy_percent_change_from_baseline,45024,-4.153391053,D,Alabama,8-Apr
grocery_and_pharmacy_percent_change_from_baseline,45025,-5.039105339,D,Alabama,9-Apr
grocery_and_pharmacy_percent_change_from_baseline,45026,-7.493650794,D,Alabama,10-Apr
grocery_and_pharmacy_percent_change_from_baseline,45027,-8.222222222,D,Alabama,11-Apr
grocery_and_pharmacy_percent_change_from_baseline,45028,-12.43650794,D,Alabama,12-Apr
grocery_and_pharmacy_percent_change_from_baseline,45029,-12.21702742,D,Alabama,13-Apr
grocery_and_pharmacy_percent_change_from_baseline,45030,-11.97258297,D,Alabama,14-Apr
grocery_and_pharmacy_percent_change_from_baseline,45031,-11.33964646,D,Alabama,15-Apr
grocery_and_pharmacy_percent_change_from_baseline,45032,-11.26980519,D,Alabama,16-Apr
grocery_and_pharmacy_percent_change_from_baseline,45033,-11.91266234,D,Alabama,17-Apr
grocery_and_pharmacy_percent_change_from_baseline,45034,-12.85393218,R,Alabama,18-Apr
grocery_and_pharmacy_percent_change_from_baseline,45035,-9.111075036,R,Alabama,19-Apr
grocery_and_pharmacy_percent_change_from_baseline,45036,-8.519444444,R,Alabama,20-Apr
grocery_and_pharmacy_percent_change_from_baseline,45037,-7.932142857,R,Alabama,21-Apr
grocery_and_pharmacy_percent_change_from_baseline,45038,-8.164285714,R,Alabama,22-Apr
grocery_and_pharmacy_percent_change_from_baseline,45039,-9.303174603,R,Alabama,23-Apr
grocery_and_pharmacy_percent_change_from_baseline,45040,-8.803174603,R,Alabama,24-Apr
grocery_and_pharmacy_percent_change_from_baseline,45041,-8.580952381,R,Alabama,25-Apr
grocery_and_pharmacy_percent_change_from_baseline,45042,-6.30952381,R,Alabama,26-Apr
grocery_and_pharmacy_percent_change_from_baseline,45043,-6.325396825,R,Alabama,27-Apr
grocery_and_pharmacy_percent_change_from_baseline,45044,-6.007936508,R,Alabama,28-Apr
grocery_and_pharmacy_percent_change_from_baseline,45045,-5.886507937,R,Alabama,29-Apr
grocery_and_pharmacy_percent_change_from_baseline,45046,-3.688888889,R,Alabama,30-Apr
grocery_and_pharmacy_percent_change_from_baseline,45047,-2.307936508,R,Alabama,1-May
grocery_and_pharmacy_percent_change_from_baseline,45048,-0.903174603,R,Alabama,2-May
grocery_and_pharmacy_percent_change_from_baseline,45049,1.05600907,R,Alabama,3-May
grocery_and_pharmacy_percent_change_from_baseline,45050,2.846485261,R,Alabama,4-May
grocery_and_pharmacy_percent_change_from_baseline,45051,4.568707483,R,Alabama,5-May
grocery_and_pharmacy_percent_change_from_baseline,45052,6.085034014,R,Alabama,6-May
grocery_and_pharmacy_percent_change_from_baseline,45053,6.518367347,R,Alabama,7-May
grocery_and_pharmacy_percent_change_from_baseline,45054,6.085466914,R,Alabama,8-May
grocery_and_pharmacy_percent_change_from_baseline,45055,8.128324057,R,Alabama,9-May
grocery_and_pharmacy_percent_change_from_baseline,45056,9.508426098,R,Alabama,10-May
grocery_and_pharmacy_percent_change_from_baseline,45057,8.606838796,R,Alabama,11-May
grocery_and_pharmacy_percent_change_from_baseline,45058,7.910410225,R,Alabama,12-May
grocery_and_pharmacy_percent_change_from_baseline,45059,7.624695939,R,Alabama,13-May
grocery_and_pharmacy_percent_change_from_baseline,45060,7.319934034,R,Alabama,14-May
grocery_and_pharmacy_percent_change_from_baseline,45061,7.0861678,R,Alabama,15-May
parks_percent_change_from_baseline,44972,0,D,Alabama,15-Feb
parks_percent_change_from_baseline,44973,0,D,Alabama,16-Feb
parks_percent_change_from_baseline,44974,0,D,Alabama,17-Feb
parks_percent_change_from_baseline,44975,0,D,Alabama,18-Feb
parks_percent_change_from_baseline,44976,0,D,Alabama,19-Feb
parks_percent_change_from_baseline,44977,0,D,Alabama,20-Feb
parks_percent_change_from_baseline,44978,4.227272727,D,Alabama,21-Feb
parks_percent_change_from_baseline,44979,5.557142857,D,Alabama,22-Feb
parks_percent_change_from_baseline,44980,10.02142857,D,Alabama,23-Feb
parks_percent_change_from_baseline,44981,5.995454545,D,Alabama,24-Feb
parks_percent_change_from_baseline,44982,12.13109668,D,Alabama,25-Feb
parks_percent_change_from_baseline,44983,12.22633478,D,Alabama,26-Feb
parks_percent_change_from_baseline,44984,17.49062049,D,Alabama,27-Feb
parks_percent_change_from_baseline,44985,19.19191919,D,Alabama,28-Feb
parks_percent_change_from_baseline,47150,20.73477633,D,Alabama,29-Feb
parks_percent_change_from_baseline,44986,23.32049062,D,Alabama,1-Mar
parks_percent_change_from_baseline,44987,24.5023088,D,Alabama,2-Mar
parks_percent_change_from_baseline,44988,26.41699134,D,Alabama,3-Mar
parks_percent_change_from_baseline,44989,24.43286436,D,Alabama,4-Mar
parks_percent_change_from_baseline,44990,22.74000722,D,Alabama,5-Mar
parks_percent_change_from_baseline,44991,23.19455267,D,Alabama,6-Mar
parks_percent_change_from_baseline,44992,23.66598124,D,Alabama,7-Mar
parks_percent_change_from_baseline,44993,25.03264791,D,Alabama,8-Mar
parks_percent_change_from_baseline,44994,31.17550505,D,Alabama,9-Mar
parks_percent_change_from_baseline,44995,27.62590188,D,Alabama,10-Mar
parks_percent_change_from_baseline,44996,32.38780664,D,Alabama,11-Mar
parks_percent_change_from_baseline,44997,38.22352092,D,Alabama,12-Mar
parks_percent_change_from_baseline,44998,37.48326118,D,Alabama,13-Mar
parks_percent_change_from_baseline,44999,35.06262626,D,Alabama,14-Mar
parks_percent_change_from_baseline,45000,28.27907648,D,Alabama,15-Mar
parks_percent_change_from_baseline,45001,24.86479076,D,Alabama,16-Mar
parks_percent_change_from_baseline,45002,24.75367965,D,Alabama,17-Mar
parks_percent_change_from_baseline,45003,25.76955267,D,Alabama,18-Mar
parks_percent_change_from_baseline,45004,22.45526696,D,Alabama,19-Mar
parks_percent_change_from_baseline,45005,19.41630592,D,Alabama,20-Mar
parks_percent_change_from_baseline,45006,12.9992785,D,Alabama,21-Mar
parks_percent_change_from_baseline,45007,11.91616162,D,Alabama,22-Mar
parks_percent_change_from_baseline,45008,7.733044733,D,Alabama,23-Mar
parks_percent_change_from_baseline,45009,4.066378066,D,Alabama,24-Mar
parks_percent_change_from_baseline,45010,2.69534632,D,Alabama,25-Mar
parks_percent_change_from_baseline,45011,3.336616162,D,Alabama,26-Mar
parks_percent_change_from_baseline,45012,7.41453824,D,Alabama,27-Mar
parks_percent_change_from_baseline,45013,8.137914863,D,Alabama,28-Mar
parks_percent_change_from_baseline,45014,9.115692641,D,Alabama,29-Mar
parks_percent_change_from_baseline,45015,11.49880952,D,Alabama,30-Mar
parks_percent_change_from_baseline,45016,8.66547619,D,Alabama,31-Mar
parks_percent_change_from_baseline,45017,6.957142857,D,Alabama,1-Apr
parks_percent_change_from_baseline,45018,4.873015873,D,Alabama,2-Apr
parks_percent_change_from_baseline,45019,2.522366522,D,Alabama,3-Apr
parks_percent_change_from_baseline,45020,-0.134776335,D,Alabama,4-Apr
parks_percent_change_from_baseline,45021,-2.741125541,D,Alabama,5-Apr
parks_percent_change_from_baseline,45022,-3.212554113,D,Alabama,6-Apr
parks_percent_change_from_baseline,45023,-2.583982684,D,Alabama,7-Apr
parks_percent_change_from_baseline,45024,-4.980808081,D,Alabama,8-Apr
parks_percent_change_from_baseline,45025,-6.309379509,D,Alabama,9-Apr
parks_percent_change_from_baseline,45026,-7.932756133,D,Alabama,10-Apr
parks_percent_change_from_baseline,45027,-6.375613276,D,Alabama,11-Apr
parks_percent_change_from_baseline,45028,-11.94704185,D,Alabama,12-Apr
parks_percent_change_from_baseline,45029,-12.75483405,R,Alabama,13-Apr
parks_percent_change_from_baseline,45030,-10.37546898,R,Alabama,14-Apr
parks_percent_change_from_baseline,45031,-9.663167388,R,Alabama,15-Apr
parks_percent_change_from_baseline,45032,-8.377453102,R,Alabama,16-Apr
parks_percent_change_from_baseline,45033,-5.646284271,R,Alabama,17-Apr
parks_percent_change_from_baseline,45034,-6.662157287,R,Alabama,18-Apr
parks_percent_change_from_baseline,45035,-5.576443001,R,Alabama,19-Apr
parks_percent_change_from_baseline,45036,-3.860714286,R,Alabama,20-Apr
parks_percent_change_from_baseline,45037,-1.797222222,R,Alabama,21-Apr
parks_percent_change_from_baseline,45038,-1.547222222,R,Alabama,22-Apr
parks_percent_change_from_baseline,45039,-6.428174603,R,Alabama,23-Apr
parks_percent_change_from_baseline,45040,-5.999603175,R,Alabama,24-Apr
parks_percent_change_from_baseline,45041,-4.983730159,R,Alabama,25-Apr
parks_percent_change_from_baseline,45042,3.473412698,R,Alabama,26-Apr
parks_percent_change_from_baseline,45043,4.457539683,R,Alabama,27-Apr
parks_percent_change_from_baseline,45044,4.663888889,R,Alabama,28-Apr
parks_percent_change_from_baseline,45045,2.574603175,R,Alabama,29-Apr
parks_percent_change_from_baseline,45046,8.26984127,R,Alabama,30-Apr
parks_percent_change_from_baseline,45047,9.274603175,R,Alabama,1-May
parks_percent_change_from_baseline,45048,11.93531746,R,Alabama,2-May
parks_percent_change_from_baseline,45049,15.54756236,R,Alabama,3-May
parks_percent_change_from_baseline,45050,15.86978458,R,Alabama,4-May
parks_percent_change_from_baseline,45051,15.26343537,R,Alabama,5-May
parks_percent_change_from_baseline,45052,21.26343537,R,Alabama,6-May
parks_percent_change_from_baseline,45053,23.16343537,R,Alabama,7-May
parks_percent_change_from_baseline,45054,18.11581633,R,Alabama,8-May
parks_percent_change_from_baseline,45055,19.26938776,R,Alabama,9-May
parks_percent_change_from_baseline,45056,19.72857143,R,Alabama,10-May
parks_percent_change_from_baseline,45057,21.35873016,R,Alabama,11-May
parks_percent_change_from_baseline,45058,23.5265873,R,Alabama,12-May
parks_percent_change_from_baseline,45059,24.99597506,R,Alabama,13-May
parks_percent_change_from_baseline,45060,26.16740363,R,Alabama,14-May
parks_percent_change_from_baseline,45061,32.26264172,R,Alabama,15-May
parks_percent_change_from_baseline,45062,35.23407029,R,Alabama,16-May
parks_percent_change_from_baseline,45063,32.57534014,R,Alabama,17-May
parks_percent_change_from_baseline,45064,30.70232426,R,Alabama,18-May
parks_percent_change_from_baseline,45065,31.77120181,R,Alabama,19-May
parks_percent_change_from_baseline,45066,30.95487528,R,Alabama,20-May
parks_percent_change_from_baseline,45067,30.89773243,R,Alabama,21-May
parks_percent_change_from_baseline,45068,30.7739229,R,Alabama,22-May
parks_percent_change_from_baseline,45069,29.6707483,R,Alabama,23-May
parks_percent_change_from_baseline,45070,34.91876417,R,Alabama,24-May
parks_percent_change_from_baseline,45071,41.11519274,R,Alabama,25-May
parks_percent_change_from_baseline,45072,35.77052154,R,Alabama,26-May
parks_percent_change_from_baseline,45073,32.03809524,R,Alabama,27-May
parks_percent_change_from_baseline,45074,31.06666667,R,Alabama,28-May
parks_percent_change_from_baseline,45075,32.02380952,R,Alabama,29-May
parks_percent_change_from_baseline,45076,34.35714286,R,Alabama,30-May
parks_percent_change_from_baseline,45077,34.26785714,R,Alabama,31-May
parks_percent_change_from_baseline,45078,31.75714286,R,Alabama,1-Jun
parks_percent_change_from_baseline,45079,37.79569161,R,Alabama,2-Jun
parks_percent_change_from_baseline,45080,42.56893424,R,Alabama,3-Jun
parks_percent_change_from_baseline,45081,43.5510771,R,Alabama,4-Jun
parks_percent_change_from_baseline,45082,42.50821995,R,Alabama,5-Jun
parks_percent_change_from_baseline,45083,39.76218821,R,Alabama,6-Jun
parks_percent_change_from_baseline,45084,33.17488662,R,Alabama,7-Jun
parks_percent_change_from_baseline,45085,27.91774376,R,Alabama,8-Jun
parks_percent_change_from_baseline,45086,23.11570295,R,Alabama,9-Jun
parks_percent_change_from_baseline,45087,23.23815193,R,Alabama,10-Jun
parks_percent_change_from_baseline,45088,24.44648526,R,Alabama,11-Jun
parks_percent_change_from_baseline,45089,28.88219955,R,Alabama,12-Jun
parks_percent_change_from_baseline,45090,34.29489796,R,Alabama,13-Jun
parks_percent_change_from_baseline,45091,40.4893424,R,Alabama,14-Jun
parks_percent_change_from_baseline,45092,47.89750567,R,Alabama,15-Jun
parks_percent_change_from_baseline,45093,55.88321995,R,Alabama,16-Jun
